Programme ENGLISH Title;Programme ITALIAN Title;Series;Episode #;Episode ENGLISH Title;Episode ITALIAN Title;HN
MICKEY AND FRIENDS;Topolino e i suoi amici;1;54;Pluto at the Zoo;Pluto allo Zoo;DC00056
MICKEY AND FRIENDS;Topolino e i suoi amici;1;57;Pluto and the Armadillo;Pluto e l'armadillo;DC00059
MICKEY AND FRIENDS;Topolino e i suoi amici;1;58;Private Pluto;La Recluta Pluto;DC00060
MICKEY AND FRIENDS;Topolino e i suoi amici;1;67;First Aiders;Pronto soccorso;DC00069
MICKEY AND FRIENDS;Topolino e i suoi amici;1;69;In Dutch;Pluto salva la città;DC00071
MICKEY AND FRIENDS;Topolino e i suoi amici;1;70;Squatter's Rights;Due scoiattoli dispettosi;DC00072
MICKEY AND FRIENDS;Topolino e i suoi amici;1;73;Pluto's Housewarming;Pluto trova un amico;DC00075
MICKEY AND FRIENDS;Topolino e i suoi amici;1;74;Rescue Dog;Cane Da Salvataggio;DC00076
MICKEY AND FRIENDS;Topolino e i suoi amici;1;83;Cat Nap Pluto;Il sonnellino di Pluto;DC00085
MICKEY AND FRIENDS;Topolino e i suoi amici;1;84;Pluto's Fledgling;L'uccellino di Pluto;DC00086
MICKEY AND FRIENDS;Topolino e i suoi amici;1;87;Pueblo Pluto;Gita Al Pueblo;DC00089
MICKEY AND FRIENDS;Topolino e i suoi amici;1;89;Pluto's surprise package;Pacchetto a sorpresa;DC00091
MICKEY AND FRIENDS;Topolino e i suoi amici;1;90;Pluto's sweater;Il maglione di Pluto;DC00092
MICKEY AND FRIENDS;Topolino e i suoi amici;1;95;Pluto and the gopher;Pluto e la talpa;DC00097
MICKEY AND FRIENDS;Topolino e i suoi amici;1;98;Food for Feudin';Motivo per bisticciare;DC00100
MICKEY AND FRIENDS;Topolino e i suoi amici;1;109;Pluto's Christmas tree;L'albero di Natale di Pluto;DC00114
MICKEY AND FRIENDS;Topolino e i suoi amici;1;131;Plutopia;Plutopia;DC00140
MICKEY AND FRIENDS;Topolino e i suoi amici;1;136;Window Cleaners;I Lavavetri;DC00145
MICKEY AND FRIENDS;Topolino e i suoi amici;1;137;Worm Turns;Una pozione combina-guai;DC00146
MICKEY AND FRIENDS;Topolino e i suoi amici;1;141;Old Mac Donald;Il vecchio papero Macdonald;DC00150
MICKEY AND FRIENDS;Topolino e i suoi amici;1;145;The Old Mill;Il vecchio mulino;DC00154
MICKEY AND FRIENDS;Topolino e i suoi amici;1;147;Santa's Workshop;Papà Natale;DC00156
MICKEY AND FRIENDS;Topolino e i suoi amici;1;148;Night Before Christmas;La notte di Natale;DC00157
MICKEY AND FRIENDS;Topolino e i suoi amici;1;149;Broken Toys;Giocattoli rotti;DC00158
MICKEY AND FRIENDS;Topolino e i suoi amici;1;150;Cold Storage;La cuccia contesa;DC00159
MICKEY AND FRIENDS;Topolino e i suoi amici;2;151;The Grasshoppers And The Ants;La cavalletta e la formica;DC00267
MICKEY AND FRIENDS;Topolino e i suoi amici;2;152;Mickey's Trailer;La roulotte di Topolino;DC00268
MICKEY AND FRIENDS;Topolino e i suoi amici;2;155;Lonesome Ghost;Topolino e i fantasmi;DC00316
MICKEY AND FRIENDS;Topolino e i suoi amici;2;156;Donald's Garden;Il giardino di Paperino;DC00317
MICKEY AND FRIENDS;Topolino e i suoi amici;3;158;Chef Donald;Disastri in cucina;DC00271
MICKEY AND FRIENDS;Topolino e i suoi amici;3;160;Bill posters;Professione attacchino;DC00273
MICKEY AND FRIENDS;Topolino e i suoi amici;3;162;Canine Casanova;Pluto il Casanova;DC00275
MICKEY AND FRIENDS;Topolino e i suoi amici;3;164;Donald's Vacation;Le vacanze di Paperino;DC00277
MICKEY AND FRIENDS;Topolino e i suoi amici;3;172;The Fox hunt;Caccia alla volpe;DC00285
MICKEY AND FRIENDS;Topolino e i suoi amici;3;173;Gentleman's Gentleman;Un maggiordomo quasi perfetto;DC00286
MICKEY AND FRIENDS;Topolino e i suoi amici;3;184;Orphan's benefit;Spettacolo di beneficenza;DC00297
MICKEY AND FRIENDS;Topolino e i suoi amici;3;186;Pluto's blue note;Pluto canterino;DC00299
MICKEY AND FRIENDS;Topolino e i suoi amici;3;187;Pluto's Judgement day;Pluto e il giorno del giudizio;DC00300
MICKEY AND FRIENDS;Topolino e i suoi amici;3;188;Pluto Junior;Il piccolo Pluto;DC00301
MICKEY AND FRIENDS;Topolino e i suoi amici;3;189;Purloined Pup;Il cucciolo rapito;DC00302
MICKEY AND FRIENDS;Topolino e i suoi amici;3;196;T-Bone for two;Un osso per due;DC00309
;;;;;;
